Geo Name2,Measure for Color,TT Measure Count PA Total when Percent Selected,TT Measure Percent when Percent Selected,TT Legislator Sentence,TT LHS Measure PA Total when Percent Selected,TT LHS Measure when Density Selected,TT LHS Measure when Percent Selected,TT LHS Population when Density Selected,TT Newline when Density Selected,TT Newline when District Selected,TT Newline when Percent Selected,"TT Selected Measure, Mode, Univ",Geometry,Latitude (generated),Longitude (generated),TT Measure Count when Count Selected,TT Measure Count when Density Selected,TT Measure Count when Percent Selected,TT Measure Density when Density Selected,TT Population Number when Density Selected
York County,0.026668383,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.033432172,-76.754749167,,116,,0.0%,"434,972"
Wyoming County,0.010609704,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,41.579349487,-75.862019206,,3,,0.0%,"28,276"
Westmoreland County,0.068735298,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.313450865,-79.506523953,,251,,0.1%,"365,169"
Wayne County,0.011358903,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,41.546551696,-75.264144198,,6,,0.0%,"52,822"
Washington County,0.143393321,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.020552528,-80.196025302,,298,,0.1%,"207,820"
Warren County,0.004782973,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,41.812756930,-79.363178876,,2,,0.0%,"41,815"
Venango County,0.163683981,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,41.335855494,-79.771667743,,90,,0.2%,"54,984"
Union County,0.111242130,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.944856587,-76.910630069,,50,,0.1%,"44,947"
Tioga County,0.652676211,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,41.630444339,-76.986831862,,274,,0.7%,"41,981"
Susquehanna County,0.009225943,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,41.774656308,-75.829930446,,4,,0.0%,"43,356"
Sullivan County,0.031113877,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,41.449271452,-76.502009733,,2,,0.0%,"6,428"
Somerset County,0.015435672,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,39.974114193,-79.169025838,,12,,0.0%,"77,742"
Snyder County,0.047856531,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.749785155,-76.976907133,,19,,0.0%,"39,702"
Schuylkill County,0.033717943,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.629046424,-76.213267026,,50,,0.0%,"148,289"
Potter County,0.011456722,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,41.792119085,-77.900299137,,2,,0.0%,"17,457"
Pike County,0.045320644,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,41.352344900,-75.105455574,,26,,0.0%,"57,369"
Philadelphia County,0.012516333,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,39.995617893,-75.163582103,,191,,0.0%,"1,526,006"
Perry County,0.041332202,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.383331048,-77.195268160,,19,,0.0%,"45,969"
Northumberland County,0.076167908,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.872409740,-76.764025814,,72,,0.1%,"94,528"
Northampton County,0.057769493,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.738910095,-75.270182086,,172,,0.1%,"297,735"
Montour County,0.443422565,,,,,"
Employees = ",,Population = ,"
",,,State System Employee Density,Polygon,40.977849053,-76.617523040,,81,,0.4%,"18,267"
